,0
PASEU,8acae2c586d22c5101887ae575873835
PETKM,4028e4a240f2ef470141165c566a03e4
PGA,8acae2c4508ff72301513da7a3690e68
PGSUS,4028e4a2422d9a78014232e751bc22a4
PLTUR,4028e4a2422d9a7801427038d3fc1e11
POLHO,4028e4a241733d4a01417414a27127d7
PSGYO,8acae2c4794d364a017a51e9e5d256c9
QUAGR,8acae2c469cee2a4016b1c1dc11f2b03
RALYH,4028e4a240f2ef4c0141029be169015f
RAYSG,4028e4a241733d4201417ddf67f8288c
REEDR,8acae2c586d22c53018a73739d9104a8
RGYAS,4028e4a241b612d80141d9a52e2a2727
RYGYO,4028e4a140ee847b0140f20278c00023
RYSAS,4028e4a140ee847b0140f203980d0030
SAFGY,4028e4a140f2ed72014111704640058f
SARKY,4028e4a140f2ed7101410294f924012d
SASA,4028e4a240ee866c0140f20abd9500cc
SDTTR,8acae2c48304fe9e0183ac70038e4941
SELEC,4028e4a2416e697d01416ec00e101dce
SHTRP,4028e4a1422d9869014247ae2a7864f8
SISE,4028e4a140f2ed710140f385d5690102
SMRTG,8acae2c47d3bee4e017f49ce882e7b01
SNGYO,4028e4a14184e9cf01419c0168dd5a87
SODA,4028e4a240ee866c0140f26e80a2012e
SOKM,4028e4a14184e9c9014198095f4442bf
SRVGY,4028e4a1416e696501416f80a3377c4b
SUNTK,8acae2c47f7cb4920180234f4d1064b4
SURGY,8acae2c48b2fa25a018c33a0808a03b0
SUWEN,8acae2c47902e75601792308abd41e4a
TATEN,8acae2c586d22c510189bf5827490281
TAVHL,4028e4a140f2ed720140f31195ef010e
TCELL,4028e4a1486ec80a0148c55510d71d31
"TCZ, TCZB",4028e4a244a081810144df8a1df43625
TEZOL,8acae2c468aeffb7016949376d695d6c
TKFEN,4028e4a140f2ed720140f31367840112
TMSN,4028e4a141e536460141e53904b50025
TNZTP,8acae2c575a1b5b601773e8cc29d0b24
TOASO,4028e4a140f2ed710140f328bed700a5
TRCAS,4028e4a1415f4d9b01416005c65d3d53
TRGYO,4028e4a1413b7ef5014144f83882011f
TRKCM,4028e4a140f2ed710140f3664d5a00f4
TSPOR,4028e4a141da49e50141e0852f272b80
TTKOM,4028e4a241e538ab0141ea9c96912c8b
TTRAK,4028e4a140f2ed720140f3790d6a01ad
TUKAS,4028e4a240f2ef470140f373b77f00ac
TUPRS,4028e4a140f2ed720140f37f139c01bc
TUREX,402821824bf524dd014d7babc2134829
TURKR,402821824bf524dc014cfb2df13f5a21
ULKER,4028e4a14184e9c901419801438a422b
UNYEC,4028e4a140f2ed720140f3902b6b01c1
USAK,1DE05DAA843E073AE0530A4A622A2EBD
VAKFA,4028e4a2422d9a7801426b0fb4db037d
VAKFN,4028e4a241462fd801414fa81cce2e75
VAKKO,4028e4a2422d9a6e014251b075f0227f
VESBE,4028e4a140f2ed7201412c223c9707e6
VESTL,4028e4a140f2ed7201412c2000c507db
VKFYO,4028e4a241462fd801414fa6227c2e62
YAPRK,4028e4a1416e696501416eec8e443d62
YATVK,8acae2c56d759b01016e02beaf763330
YEOTK,4028e4a140f2ed7101413af3da8c0440
ZOREN,4028e4a140f2ed7201412c19687407a7
ZOROE,8acae2c45d84ff82015ec3cd03e37296
ZRGYO,8acae2c45835eb660158bfedd32d3332
