,0
ESCOM,4028e4a142140a8d01421437e3fb036a
ETILR,4028e4a240f2ef4701413b24736d0655
EUPWR,8acae2c486d22a3b01875b5644ea61c4
EUREN,8acae2c580e91030018105632b470bcd
EYGYO,8acae2c48304fe9c01843d2398a50797
FADE,8acae2c46e7fdc6d016f85a87ec9674e
FLAP,4028e4a141558bdd01415620c00705ad
FMIZP,4028e4a240f2ef4701410bb5cdab01cf
"FNY, QNBIN",4028e4a140f2ed720140f3187e00012e
FONET,8acae2c55a980119015b435875566776
FORMT,8acae2c562329bd101633953d02b0477
FORTE,8acae2c47f7cb492018094784f6f309a
FRIGO,4028e4a1415f4d9b01415fee1db939f4
GEDIK,4028e4a140e95bea0140ee1edd700174
GEDZA,4028e4a14158e41e01415b2a655f6cca
GENTS,4028e4a2416e696c01416f1e03364c9d
GEP,4028e4a240f2ef4c01413b5ccdb3075e
GEREL,4028e4a14158e41e01415aaad2ae618b
"GLB, GLBMD",4028e4a140e95bea0140ee21b10d0188
GLRYH,4028e4a240f2ef4c01410cf733f303d9
GLT,4028e4a141733b51014183af4afb4b35
GLYHO,4028e4a140e95bea0140ee24416e0197
GMTAS,a3ff494df37b408aa9088106fe98f59e
GOODY,4028e4a140f2ed7101412bfc6f340359
GOZDE,4028e4a24158e42201415b0210ba60ef
GPO,4028e4a1422d98690142516471fe17e1
"GRM, GRYAT",4028e4a141da49e50141e08580772b86
GRTHO,8acae2c48304fe9c018466742a3b2960
GSDDE,4028e4a140e95be70140ee2a7f39013b
GSDHO,4028e4a140e95be70140ee2be54b014a
GUBRF,4028e4a241733d4a01417989f3760a4d
GZNMI,8acae2c47d3bee50017e3445b465578f
"HALKI, HLY",4028e4a240f2ef4c01411654e5fc0479
HATEK,4028e4a141e536460141e5859f40059b
HATSN,8acae2c586d22c51018a739bad647f5a
HDFGS,4028e4a242140a9601422820b6da43f8
HEDEF,8acae2c4794d3648017a8bd7bc0103df
HFP,4028e4a242140a96014228206ea243f2
HKTM,8acae2c5812b84a401816252165513b1
HLGYO,4028e4a240ee37a30140ee53e47c0057
HPY,4028e4a2413b80ca01413b9b10830009
HUBVC,4028e4a240f2ef4c01413b59d12c0749
HUNER,8acae2c47d3bee4e017e347a3f5a5b1a
HURGZ,4028e4a140ee35c70140ee6408650041
"IAZ, INVAZ",4028e4a14184e9cf0141934f00662c2e
"ICB, ICBCT",4028e4a24158e42401415a700e104f3f
ICT,4028e4a1416e696301416ec49d6f2842
ICUGS,4028e4a141e536460141e53ba7790052
IEYHO,4028e4a140f2ed7201410d315d200314
IHAAS,8acae2c57afb2d70017bdf2f5af067ed
IHEVA,4028e4a240ee37a30140ee7a98160079
IHGZT,4028e4a140ee84900140f1f8d5bc003c
IHLAS,4028e4a140ee84900140f1fbc6b1004f
IHLGM,4028e4a141a25dcb0141a2a7a0060471
IHYAY,4028e4a140ee847b0140f205c4270035
IMASM,8acae2c47f7cb49201802cedfbb46d26
INDES,4028e4a2416e697d01416ead8a0615a7
"INFO, IYF",4028e4a2416e696c01416edd30ca3148
INGRM,4028e4a241462fd80141556f6a9308a2
INM,4028e4a2416f889101416f9408420229
INTEM,4028e4a241e538b40141e572868704e7
INVEO,4028e4a140f2ed7201413b67b22f0929
INVES,8acae2c47d3bee50017f0bbbbbfa3c0e
"ISATR, ISBTR, ISCTR, ISKUR, TIB",4028e4a140f2ed7201411682b0cb05c6
ISBIR,4028e4a240f2ef4c0141017954a000b4
ISFAK,4028e4a2413b80ca01413bb4d2580033
ISGSY,4028e4a240ee866c0140f273ea66014d
ISGYO,4028e4a140f2ed7201412acbeb8b06f7
ISKPL,8acae2c575a1b5b601770603623b7c43
"ISMEN, IYM",4028e4a140f275530140f277aa100008
ISP,4028e4a141733b5601417434d6a42b9f
ISSEN,8acae2c452495e0b0152ef57ae190f85
ISY,4028e4a1415f4d9b01415fe3dd69373c
ISYAT,4028e4a240ee866c0140f2710c33013d
IZENR,8acae2c5534651ff0153612ea22a02ec
IZFAS,4028e4a146b4c41301485f8c72095698
IZINV,1DE05DAA82FC073AE0530A4A622A2EBD
IZMDC,4028e4a140f275550140f27e319401ca
JANTS,4028e4a240f2ef4c01413b1b57300719
JCRAV,4028e4a2422d9a780142945d2b48298a
KAPLM,4028e4a1416e696501416f314a3960dc
KARTN,4028e4a2416e697d01416e969af50d2e
KAYSE,4028e4a144a0804f0145a837a7ad0a66
KBORU,8acae2c48b2fa259018c33b3ca910ba8
KCHOL,4028e4a140f2ed710140f2f4d6c70039
KFEIN,8acae2c55835f84c015848477328085a
KGYO,4028e4a240f2ef4c0141176f57ca04a5
KIMMR,8acae2c5794d3d6a01795f597b820707
KIPA,4028e4a240f2ef470140f31ea9df007c
KLMSN,4028e4a2416e696c01416f7763e874db
